
******************************************
               Running on cuda:0 
******************************************
Regulariser          :         2-norm , 0.1
Dataset              :              Covtype
Data size            :         (581012, 54)
No. Samples          :               581012
Dimensions           :                  378
x0                   :              uniform
Algorithm            :     FaithfulNewtonCR
..............................................................................................................................
     ite     |    inite    |    dtype    |    orcs     |    time     |      f      |   g_norm    |    alpha    |     acc     
    10415    |    58452    |   149.59    | 7.5545e-01  | 1.5997e-04  |      2      |  2.00e+00   |    0.00     
    10416    |    58458    |   149.60    | 7.5545e-01  | 1.2550e-04  |      2      |  2.00e+00   |    0.00     
    10417    |    58468    |   149.63    | 7.5545e-01  | 3.5006e-04  |      2      |  2.48e-01   |    0.00     
    10418    |    58472    |   149.64    | 7.5545e-01  | 2.7328e-04  |      1      |  1.00e+00   |    0.00     
    10419    |    58476    |   149.65    | 7.5545e-01  | 1.4396e-04  |      1      |  1.00e+00   |    0.00     
    10420    |    58480    |   149.66    | 7.5545e-01  | 1.4224e-04  |      1      |  1.00e+00   |    0.00     
    10421    |    58490    |   149.69    | 7.5545e-01  | 1.3395e-04  |      2      |  3.53e-01   |    0.00     
    10422    |    58494    |   149.70    | 7.5545e-01  | 1.0708e-04  |      1      |  1.00e+00   |    0.00     
    10423    |    58498    |   149.71    | 7.5545e-01  | 6.6853e-05  |      1      |  1.00e+00   |    0.00     
    10424    |    58502    |   149.72    | 7.5545e-01  | 5.7402e-05  |      1      |  1.00e+00   |    0.00     
    10425    |    58512    |   149.75    | 7.5545e-01  | 2.1712e-04  |      2      |  2.27e-01   |    0.00     
    10426    |    58516    |   149.76    | 7.5545e-01  | 1.2488e-04  |      1      |  1.00e+00   |    0.00     
    10427    |    58520    |   149.77    | 7.5545e-01  | 7.0253e-05  |      1      |  1.00e+00   |    0.00     
    10428    |    58526    |   149.79    | 7.5545e-01  | 1.7282e-04  |      2      |  2.00e+00   |    0.00     
    10429    |    58532    |   149.80    | 7.5545e-01  | 1.2624e-04  |      2      |  2.00e+00   |    0.00     
    10430    |    58536    |   149.81    | 7.5545e-01  | 1.0052e-04  |      1      |  1.00e+00   |    0.00     
    10431    |    58540    |   149.82    | 7.5545e-01  | 8.6602e-05  |      1      |  1.00e+00   |    0.00     
    10432    |    58546    |   149.83    | 7.5545e-01  | 1.5875e-04  |      2      |  2.00e+00   |    0.00     
    10433    |    58552    |   149.85    | 7.5545e-01  | 1.7923e-04  |      2      |  2.00e+00   |    0.00     
    10434    |    58556    |   149.86    | 7.5545e-01  | 2.7653e-04  |      1      |  1.00e+00   |    0.00     
    10435    |    58560    |   149.87    | 7.5545e-01  | 1.5434e-04  |      1      |  1.00e+00   |    0.00     
    10436    |    58564    |   149.88    | 7.5545e-01  | 8.3521e-05  |      1      |  1.00e+00   |    0.00     
    10437    |    58568    |   149.88    | 7.5545e-01  | 1.1270e-04  |      1      |  1.00e+00   |    0.00     
    10438    |    58574    |   149.90    | 7.5545e-01  | 9.1086e-05  |      2      |  2.00e+00   |    0.00     
    10439    |    58578    |   149.91    | 7.5545e-01  | 1.7718e-04  |      1      |  1.00e+00   |    0.00     
    10440    |    58584    |   149.92    | 7.5545e-01  | 1.0157e-04  |      2      |  2.00e+00   |    0.00     
    10441    |    58588    |   149.93    | 7.5545e-01  | 1.4298e-04  |      1      |  1.00e+00   |    0.00     
    10442    |    58592    |   149.94    | 7.5545e-01  | 2.2438e-04  |      1      |  1.00e+00   |    0.00     
    10443    |    58596    |   149.95    | 7.5545e-01  | 9.4796e-05  |      1      |  1.00e+00   |    0.00     
    10444    |    58602    |   149.96    | 7.5545e-01  | 1.4822e-04  |      2      |  2.00e+00   |    0.00     
    10445    |    58608    |   149.98    | 7.5545e-01  | 2.2458e-04  |      2      |  2.00e+00   |    0.00     
    10446    |    58614    |   149.99    | 7.5545e-01  | 4.2759e-04  |      2      |  2.00e+00   |    0.00     
    10447    |    58624    |   150.03    | 7.5545e-01  | 1.3244e-04  |      2      |  2.01e-01   |    0.00     
    10448    |    58628    |   150.03    | 7.5545e-01  | 1.2031e-04  |      1      |  1.00e+00   |    0.00     
    10449    |    58632    |   150.04    | 7.5545e-01  | 8.1603e-05  |      1      |  1.00e+00   |    0.00     
    10450    |    58636    |   150.05    | 7.5545e-01  | 2.6681e-04  |      1      |  1.00e+00   |    0.00     
    10451    |    58640    |   150.06    | 7.5545e-01  | 8.2426e-05  |      1      |  1.00e+00   |    0.00     
    10452    |    58646    |   150.08    | 7.5545e-01  | 1.2302e-04  |      2      |  2.00e+00   |    0.00     
    10453    |    58652    |   150.09    | 7.5545e-01  | 1.9521e-04  |      2      |  2.00e+00   |    0.00     
    10454    |    58658    |   150.11    | 7.5545e-01  | 1.9919e-04  |      2      |  2.00e+00   |    0.00     
    10455    |    58662    |   150.12    | 7.5545e-01  | 2.3005e-04  |      1      |  1.00e+00   |    0.00     
    10456    |    58666    |   150.12    | 7.5545e-01  | 8.2164e-05  |      1      |  1.00e+00   |    0.00     
    10457    |    58670    |   150.13    | 7.5545e-01  | 7.9562e-05  |      1      |  1.00e+00   |    0.00     
    10458    |    58676    |   150.15    | 7.5545e-01  | 2.6564e-04  |      2      |  2.00e+00   |    0.00     
    10459    |    58682    |   150.16    | 7.5545e-01  | 1.6723e-04  |      2      |  2.00e+00   |    0.00     
    10460    |    58686    |   150.17    | 7.5545e-01  | 2.1409e-04  |      1      |  1.00e+00   |    0.00     
    10461    |    58690    |   150.18    | 7.5545e-01  | 1.3978e-04  |      1      |  1.00e+00   |    0.00     
    10462    |    58696    |   150.20    | 7.5545e-01  | 3.0284e-04  |      2      |  2.00e+00   |    0.00     
    10463    |    58702    |   150.21    | 7.5545e-01  | 2.5381e-04  |      2      |  2.00e+00   |    0.00     
    10464    |    58712    |   150.24    | 7.5545e-01  | 2.2752e-04  |      2      |  4.27e-01   |    0.00     
    10465    |    58716    |   150.25    | 7.5545e-01  | 1.1044e-04  |      1      |  1.00e+00   |    0.00     
    10466    |    58722    |   150.27    | 7.5545e-01  | 1.0184e-04  |      2      |  2.00e+00   |    0.00     
    10467    |    58726    |   150.28    | 7.5545e-01  | 1.1204e-04  |      1      |  1.00e+00   |    0.00     
    10468    |    58736    |   150.31    | 7.5545e-01  | 1.7899e-04  |      2      |  5.71e-02   |    0.00     
    10469    |    58740    |   150.32    | 7.5545e-01  | 1.1730e-04  |      1      |  1.00e+00   |    0.00     
    10470    |    58746    |   150.33    | 7.5545e-01  | 9.0538e-05  |      2      |  2.00e+00   |    0.00     
    10471    |    58752    |   150.35    | 7.5545e-01  | 1.0882e-04  |      2      |  2.00e+00   |    0.00     
    10472    |    58762    |   150.38    | 7.5545e-01  | 2.2762e-04  |      2      |  3.30e-01   |    0.00     
    10473    |    58766    |   150.39    | 7.5545e-01  | 7.2941e-05  |      1      |  1.00e+00   |    0.00     
    10474    |    58774    |   150.41    | 7.5545e-01  | 1.2609e-04  |      3      |  4.00e+00   |    0.00     
    10475    |    58782    |   150.43    | 7.5545e-01  | 7.8530e-05  |      3      |  4.00e+00   |    0.00     
    10476    |    58786    |   150.44    | 7.5545e-01  | 1.1640e-04  |      1      |  1.00e+00   |    0.00     
    10477    |    58790    |   150.45    | 7.5545e-01  | 6.2556e-05  |      1      |  1.00e+00   |    0.00     
    10478    |    58794    |   150.45    | 7.5545e-01  | 7.3469e-05  |      1      |  1.00e+00   |    0.00     
    10479    |    58800    |   150.47    | 7.5545e-01  | 1.5743e-04  |      2      |  2.00e+00   |    0.00     
    10480    |    58806    |   150.48    | 7.5545e-01  | 1.0827e-04  |      2      |  2.00e+00   |    0.00     
    10481    |    58810    |   150.49    | 7.5545e-01  | 1.6561e-04  |      1      |  1.00e+00   |    0.00     
    10482    |    58814    |   150.50    | 7.5545e-01  | 2.1379e-04  |      1      |  1.00e+00   |    0.00     
    10483    |    58818    |   150.51    | 7.5545e-01  | 8.1106e-05  |      1      |  1.00e+00   |    0.00     
    10484    |    58824    |   150.53    | 7.5545e-01  | 1.3713e-04  |      2      |  2.00e+00   |    0.00     
    10485    |    58832    |   150.55    | 7.5545e-01  | 1.3953e-04  |      3      |  4.00e+00   |    0.00     
    10486    |    58842    |   150.58    | 7.5545e-01  | 2.7417e-04  |      2      |  5.58e-01   |    0.00     
    10487    |    58846    |   150.59    | 7.5545e-01  | 1.4324e-04  |      1      |  1.00e+00   |    0.00     
    10488    |    58852    |   150.60    | 7.5545e-01  | 9.5396e-05  |      2      |  2.00e+00   |    0.00     
    10489    |    58858    |   150.62    | 7.5545e-01  | 1.9873e-04  |      2      |  2.00e+00   |    0.00     
    10490    |    58862    |   150.63    | 7.5545e-01  | 1.3426e-04  |      1      |  1.00e+00   |    0.00     
    10491    |    58868    |   150.64    | 7.5545e-01  | 1.4128e-04  |      2      |  2.00e+00   |    0.00     
    10492    |    58878    |   150.67    | 7.5545e-01  | 3.4815e-04  |      2      |  5.83e-01   |    0.00     
    10493    |    58882    |   150.68    | 7.5545e-01  | 8.2017e-05  |      1      |  1.00e+00   |    0.00     
    10494    |    58886    |   150.69    | 7.5545e-01  | 5.5654e-05  |      1      |  1.00e+00   |    0.00     
    10495    |    58892    |   150.71    | 7.5545e-01  | 5.5603e-05  |      2      |  2.00e+00   |    0.00     
    10496    |    58902    |   150.74    | 7.5545e-01  | 1.4957e-04  |      2      |  5.29e-01   |    0.00     
    10497    |    58908    |   150.75    | 7.5545e-01  | 8.1399e-05  |      2      |  2.00e+00   |    0.00     
    10498    |    58912    |   150.76    | 7.5545e-01  | 1.1351e-04  |      1      |  1.00e+00   |    0.00     
    10499    |    58916    |   150.77    | 7.5545e-01  | 9.2762e-05  |      1      |  1.00e+00   |    0.00     
    10500    |    58920    |   150.78    | 7.5545e-01  | 1.0490e-04  |      1      |  1.00e+00   |    0.00     
    10501    |    58930    |   150.81    | 7.5545e-01  | 1.1611e-04  |      2      |  2.22e-01   |    0.00     
    10502    |    58936    |   150.83    | 7.5545e-01  | 8.7856e-05  |      2      |  2.00e+00   |    0.00     
    10503    |    58940    |   150.83    | 7.5545e-01  | 2.4220e-04  |      1      |  1.00e+00   |    0.00     
    10504    |    58944    |   150.84    | 7.5545e-01  | 1.3367e-04  |      1      |  1.00e+00   |    0.00     
    10505    |    58950    |   150.86    | 7.5545e-01  | 1.5019e-04  |      2      |  2.00e+00   |    0.00     
    10506    |    58956    |   150.87    | 7.5545e-01  | 2.4441e-04  |      2      |  2.00e+00   |    0.00     
    10507    |    58960    |   150.88    | 7.5545e-01  | 1.2742e-04  |      1      |  1.00e+00   |    0.00     
    10508    |    58964    |   150.89    | 7.5545e-01  | 3.8266e-04  |      1      |  1.00e+00   |    0.00     
    10509    |    58968    |   150.90    | 7.5545e-01  | 1.9317e-04  |      1      |  1.00e+00   |    0.00     
    10510    |    58974    |   150.92    | 7.5545e-01  | 3.0857e-04  |      2      |  2.00e+00   |    0.00     
    10511    |    58984    |   150.95    | 7.5545e-01  | 3.4911e-04  |      2      |  3.47e-01   |    0.00     
    10512    |    58988    |   150.96    | 7.5545e-01  | 1.8436e-04  |      1      |  1.00e+00   |    0.00     
    10513    |    58992    |   150.96    | 7.5545e-01  | 8.2558e-05  |      1      |  1.00e+00   |    0.00     
    10514    |    58998    |   150.98    | 7.5545e-01  | 1.1153e-04  |      2      |  2.00e+00   |    0.00     
    10515    |    59008    |   151.01    | 7.5545e-01  | 2.0386e-04  |      2      |  4.32e-01   |    0.00     
    10516    |    59014    |   151.03    | 7.5545e-01  | 8.8360e-05  |      2      |  2.00e+00   |    0.00     
    10517    |    59020    |   151.04    | 7.5545e-01  | 7.3917e-05  |      2      |  2.00e+00   |    0.00     
    10518    |    59024    |   151.05    | 7.5545e-01  | 2.8017e-04  |      1      |  1.00e+00   |    0.00     
    10519    |    59030    |   151.06    | 7.5545e-01  | 1.0106e-04  |      2      |  2.00e+00   |    0.00     
    10520    |    59036    |   151.08    | 7.5545e-01  | 2.3986e-04  |      2      |  2.00e+00   |    0.00     
    10521    |    59042    |   151.09    | 7.5545e-01  | 1.7604e-04  |      2      |  2.00e+00   |    0.00     
    10522    |    59046    |   151.10    | 7.5545e-01  | 1.6051e-04  |      1      |  1.00e+00   |    0.00     
    10523    |    59050    |   151.11    | 7.5545e-01  | 1.2005e-04  |      1      |  1.00e+00   |    0.00     
    10524    |    59056    |   151.13    | 7.5545e-01  | 1.3490e-04  |      2      |  2.00e+00   |    0.00     
    10525    |    59060    |   151.14    | 7.5545e-01  | 1.4555e-04  |      1      |  1.00e+00   |    0.00     
    10526    |    59064    |   151.15    | 7.5545e-01  | 1.6443e-04  |      1      |  1.00e+00   |    0.00     
    10527    |    59068    |   151.15    | 7.5545e-01  | 1.7711e-04  |      1      |  1.00e+00   |    0.00     
    10528    |    59074    |   151.17    | 7.5545e-01  | 2.0484e-04  |      2      |  2.00e+00   |    0.00     
    10529    |    59078    |   151.18    | 7.5545e-01  | 1.8965e-04  |      1      |  1.00e+00   |    0.00     
    10530    |    59088    |   151.21    | 7.5545e-01  | 2.6156e-04  |      2      |  3.72e-01   |    0.00     
    10531    |    59092    |   151.22    | 7.5545e-01  | 9.8728e-05  |      1      |  1.00e+00   |    0.00     
    10532    |    59096    |   151.23    | 7.5545e-01  | 1.1596e-04  |      1      |  1.00e+00   |    0.00     
    10533    |    59100    |   151.24    | 7.5545e-01  | 1.1370e-04  |      1      |  1.00e+00   |    0.00     
    10534    |    59110    |   151.27    | 7.5545e-01  | 2.4549e-04  |      2      |  7.93e-02   |    0.00     
    10535    |    59114    |   151.28    | 7.5545e-01  | 1.4254e-04  |      1      |  1.00e+00   |    0.00     
    10536    |    59118    |   151.29    | 7.5545e-01  | 8.5016e-05  |      1      |  1.00e+00   |    0.00     
    10537    |    59122    |   151.30    | 7.5545e-01  | 1.6747e-04  |      1      |  1.00e+00   |    0.00     
    10538    |    59126    |   151.30    | 7.5545e-01  | 1.9797e-04  |      1      |  1.00e+00   |    0.00     
    10539    |    59130    |   151.31    | 7.5545e-01  | 1.5221e-04  |      1      |  1.00e+00   |    0.00     
    10540    |    59140    |   151.35    | 7.5545e-01  | 3.3488e-04  |      2      |  1.36e-01   |    0.00     
    10541    |    59144    |   151.35    | 7.5545e-01  | 1.5073e-04  |      1      |  1.00e+00   |    0.00     
    10542    |    59150    |   151.37    | 7.5545e-01  | 1.0822e-04  |      2      |  2.00e+00   |    0.00     
    10543    |    59156    |   151.38    | 7.5545e-01  | 1.7583e-04  |      2      |  2.00e+00   |    0.00     
    10544    |    59162    |   151.40    | 7.5545e-01  | 1.1832e-04  |      2      |  2.00e+00   |    0.00     
    10545    |    59166    |   151.41    | 7.5545e-01  | 9.0736e-05  |      1      |  1.00e+00   |    0.00     
    10546    |    59170    |   151.42    | 7.5545e-01  | 1.5810e-04  |      1      |  1.00e+00   |    0.00     
    10547    |    59176    |   151.43    | 7.5545e-01  | 2.5615e-04  |      2      |  2.00e+00   |    0.00     
    10548    |    59186    |   151.46    | 7.5545e-01  | 4.2220e-04  |      2      |  3.63e-01   |    0.00     
    10549    |    59192    |   151.48    | 7.5545e-01  | 1.2368e-04  |      2      |  2.00e+00   |    0.00     
    10550    |    59196    |   151.49    | 7.5545e-01  | 1.4834e-04  |      1      |  1.00e+00   |    0.00     
    10551    |    59202    |   151.50    | 7.5545e-01  | 2.0399e-04  |      2      |  2.00e+00   |    0.00     
    10552    |    59212    |   151.53    | 7.5545e-01  | 1.8536e-04  |      2      |  5.95e-01   |    0.00     
    10553    |    59216    |   151.54    | 7.5545e-01  | 1.0678e-04  |      1      |  1.00e+00   |    0.00     
    10554    |    59220    |   151.55    | 7.5545e-01  | 1.4920e-04  |      1      |  1.00e+00   |    0.00     
    10555    |    59224    |   151.56    | 7.5545e-01  | 1.3418e-04  |      1      |  1.00e+00   |    0.00     
    10556    |    59234    |   151.59    | 7.5545e-01  | 3.6926e-04  |      2      |  1.43e-01   |    0.00     
    10557    |    59240    |   151.61    | 7.5545e-01  | 1.7534e-04  |      2      |  2.00e+00   |    0.00     
    10558    |    59244    |   151.62    | 7.5545e-01  | 1.0656e-04  |      1      |  1.00e+00   |    0.00     
    10559    |    59248    |   151.63    | 7.5545e-01  | 1.2546e-04  |      1      |  1.00e+00   |    0.00     
    10560    |    59252    |   151.63    | 7.5545e-01  | 8.1328e-05  |      1      |  1.00e+00   |    0.00     
    10561    |    59258    |   151.65    | 7.5545e-01  | 1.0998e-04  |      2      |  2.00e+00   |    0.00     
    10562    |    59268    |   151.68    | 7.5545e-01  | 1.9398e-04  |      2      |  7.97e-02   |    0.00     
    10563    |    59272    |   151.69    | 7.5545e-01  | 1.2113e-04  |      1      |  1.00e+00   |    0.00     
    10564    |    59276    |   151.70    | 7.5545e-01  | 1.2433e-04  |      1      |  1.00e+00   |    0.00     
    10565    |    59282    |   151.71    | 7.5545e-01  | 9.2057e-05  |      2      |  2.00e+00   |    0.00     
    10566    |    59288    |   151.73    | 7.5545e-01  | 1.1026e-04  |      2      |  2.00e+00   |    0.00     
    10567    |    59292    |   151.74    | 7.5545e-01  | 1.6548e-04  |      1      |  1.00e+00   |    0.00     
    10568    |    59298    |   151.75    | 7.5545e-01  | 2.2599e-04  |      2      |  2.00e+00   |    0.00     
    10569    |    59302    |   151.76    | 7.5545e-01  | 2.8747e-04  |      1      |  1.00e+00   |    0.00     
    10570    |    59306    |   151.77    | 7.5545e-01  | 9.3288e-05  |      1      |  1.00e+00   |    0.00     
    10571    |    59310    |   151.78    | 7.5545e-01  | 8.8278e-05  |      1      |  1.00e+00   |    0.00     
    10572    |    59316    |   151.79    | 7.5545e-01  | 1.3709e-04  |      2      |  2.00e+00   |    0.00     
    10573    |    59322    |   151.81    | 7.5545e-01  | 1.9068e-04  |      2      |  2.00e+00   |    0.00     
    10574    |    59332    |   151.84    | 7.5545e-01  | 1.6431e-04  |      2      |  3.00e-01   |    0.00     
    10575    |    59336    |   151.85    | 7.5545e-01  | 9.7959e-05  |      1      |  1.00e+00   |    0.00     
    10576    |    59340    |   151.86    | 7.5545e-01  | 1.1932e-04  |      1      |  1.00e+00   |    0.00     
    10577    |    59344    |   151.87    | 7.5545e-01  | 2.4209e-04  |      1      |  1.00e+00   |    0.00     
    10578    |    59348    |   151.88    | 7.5545e-01  | 2.3733e-04  |      1      |  1.00e+00   |    0.00     
    10579    |    59352    |   151.89    | 7.5545e-01  | 1.9157e-04  |      1      |  1.00e+00   |    0.00     
    10580    |    59356    |   151.90    | 7.5545e-01  | 1.2778e-04  |      1      |  1.00e+00   |    0.00     
    10581    |    59362    |   151.91    | 7.5545e-01  | 1.8516e-04  |      2      |  2.00e+00   |    0.00     
    10582    |    59370    |   151.93    | 7.5545e-01  | 1.7956e-04  |      3      |  4.00e+00   |    0.00     
    10583    |    59380    |   151.96    | 7.5545e-01  | 1.6954e-04  |      2      |  3.41e-01   |    0.00     
    10584    |    59386    |   151.98    | 7.5545e-01  | 1.4263e-04  |      2      |  2.00e+00   |    0.00     
    10585    |    59390    |   151.99    | 7.5545e-01  | 1.4442e-04  |      1      |  1.00e+00   |    0.00     
    10586    |    59396    |   152.00    | 7.5545e-01  | 1.4365e-04  |      2      |  2.00e+00   |    0.00     
    10587    |    59404    |   152.02    | 7.5545e-01  | 1.7173e-04  |      3      |  4.00e+00   |    0.00     
    10588    |    59408    |   152.03    | 7.5545e-01  | 2.1774e-04  |      1      |  1.00e+00   |    0.00     
    10589    |    59412    |   152.04    | 7.5545e-01  | 1.0585e-04  |      1      |  1.00e+00   |    0.00     
    10590    |    59416    |   152.05    | 7.5545e-01  | 1.1559e-04  |      1      |  1.00e+00   |    0.00     
    10591    |    59422    |   152.06    | 7.5545e-01  | 1.7500e-04  |      2      |  2.00e+00   |    0.00     
    10592    |    59426    |   152.07    | 7.5545e-01  | 4.4627e-04  |      1      |  1.00e+00   |    0.00     
    10593    |    59432    |   152.09    | 7.5545e-01  | 1.3017e-04  |      2      |  2.00e+00   |    0.00     
    10594    |    59438    |   152.10    | 7.5545e-01  | 2.3132e-04  |      2      |  2.00e+00   |    0.00     
    10595    |    59446    |   152.12    | 7.5545e-01  | 1.6949e-04  |      3      |  4.00e+00   |    0.00     
    10596    |    59450    |   152.13    | 7.5545e-01  | 3.1701e-04  |      1      |  1.00e+00   |    0.00     
    10597    |    59454    |   152.14    | 7.5545e-01  | 1.9417e-04  |      1      |  1.00e+00   |    0.00     
    10598    |    59458    |   152.15    | 7.5545e-01  | 1.8230e-04  |      1      |  1.00e+00   |    0.00     
    10599    |    59462    |   152.16    | 7.5545e-01  | 1.5225e-04  |      1      |  1.00e+00   |    0.00     
    10600    |    59472    |   152.19    | 7.5545e-01  | 2.5181e-04  |      2      |  6.36e-01   |    0.00     
    10601    |    59476    |   152.20    | 7.5545e-01  | 1.2474e-04  |      1      |  1.00e+00   |    0.00     
    10602    |    59482    |   152.21    | 7.5545e-01  | 2.6341e-04  |      2      |  2.00e+00   |    0.00     
    10603    |    59488    |   152.23    | 7.5545e-01  | 2.4851e-04  |      2      |  2.00e+00   |    0.00     
    10604    |    59492    |   152.24    | 7.5545e-01  | 2.4987e-04  |      1      |  1.00e+00   |    0.00     
    10605    |    59502    |   152.27    | 7.5545e-01  | 2.2866e-04  |      2      |  3.52e-01   |    0.00     
    10606    |    59506    |   152.28    | 7.5545e-01  | 1.0759e-04  |      1      |  1.00e+00   |    0.00     
    10607    |    59512    |   152.29    | 7.5545e-01  | 1.8073e-04  |      2      |  2.00e+00   |    0.00     
    10608    |    59518    |   152.31    | 7.5545e-01  | 3.1433e-04  |      2      |  2.00e+00   |    0.00     
    10609    |    59522    |   152.32    | 7.5545e-01  | 2.7127e-04  |      1      |  1.00e+00   |    0.00     
    10610    |    59526    |   152.33    | 7.5545e-01  | 1.7822e-04  |      1      |  1.00e+00   |    0.00     
    10611    |    59530    |   152.34    | 7.5545e-01  | 1.4294e-04  |      1      |  1.00e+00   |    0.00     
    10612    |    59534    |   152.34    | 7.5545e-01  | 2.7298e-04  |      1      |  1.00e+00   |    0.00     
    10613    |    59538    |   152.35    | 7.5545e-01  | 2.4106e-04  |      1      |  1.00e+00   |    0.00     
    10614    |    59548    |   152.39    | 7.5545e-01  | 3.8254e-04  |      2      |  2.23e-01   |    0.00     
    10615    |    59552    |   152.39    | 7.5545e-01  | 1.4051e-04  |      1      |  1.00e+00   |    0.00     
    10616    |    59558    |   152.41    | 7.5545e-01  | 1.5485e-04  |      2      |  2.00e+00   |    0.00     
    10617    |    59566    |   152.43    | 7.5545e-01  | 1.8402e-04  |      3      |  4.00e+00   |    0.00     
    10618    |    59570    |   152.44    | 7.5545e-01  | 1.8673e-04  |      1      |  1.00e+00   |    0.00     
    10619    |    59574    |   152.45    | 7.5545e-01  | 8.2868e-05  |      1      |  1.00e+00   |    0.00     
    10620    |    59580    |   152.46    | 7.5545e-01  | 1.4654e-04  |      2      |  2.00e+00   |    0.00     
    10621    |    59586    |   152.48    | 7.5545e-01  | 3.7071e-04  |      2      |  2.00e+00   |    0.00     
    10622    |    59592    |   152.49    | 7.5545e-01  | 1.9780e-04  |      2      |  2.00e+00   |    0.00     
    10623    |    59596    |   152.50    | 7.5545e-01  | 2.4056e-04  |      1      |  1.00e+00   |    0.00     
    10624    |    59600    |   152.51    | 7.5545e-01  | 3.9368e-04  |      1      |  1.00e+00   |    0.00     
    10625    |    59606    |   152.53    | 7.5545e-01  | 1.3952e-04  |      2      |  2.00e+00   |    0.00     
    10626    |    59610    |   152.53    | 7.5545e-01  | 9.1768e-05  |      1      |  1.00e+00   |    0.00     
    10627    |    59616    |   152.55    | 7.5545e-01  | 2.0174e-04  |      2      |  2.00e+00   |    0.00     
    10628    |    59626    |   152.58    | 7.5545e-01  | 1.5788e-04  |      2      |  6.20e-01   |    0.00     
    10629    |    59632    |   152.60    | 7.5545e-01  | 1.3988e-04  |      2      |  2.00e+00   |    0.00     
    10630    |    59642    |   152.63    | 7.5545e-01  | 2.0754e-04  |      2      |  5.38e-01   |    0.00     
    10631    |    59646    |   152.64    | 7.5545e-01  | 1.7114e-04  |      1      |  1.00e+00   |    0.00     
    10632    |    59652    |   152.65    | 7.5545e-01  | 1.5953e-04  |      2      |  2.00e+00   |    0.00     
    10633    |    59656    |   152.66    | 7.5545e-01  | 1.5264e-04  |      1      |  1.00e+00   |    0.00     
    10634    |    59660    |   152.67    | 7.5545e-01  | 1.0484e-04  |      1      |  1.00e+00   |    0.00     
    10635    |    59670    |   152.70    | 7.5545e-01  | 1.6791e-04  |      2      |  3.67e-01   |    0.00     
    10636    |    59674    |   152.71    | 7.5545e-01  | 1.3130e-04  |      1      |  1.00e+00   |    0.00     
    10637    |    59678    |   152.72    | 7.5545e-01  | 8.3377e-05  |      1      |  1.00e+00   |    0.00     
    10638    |    59682    |   152.73    | 7.5545e-01  | 1.1974e-04  |      1      |  1.00e+00   |    0.00     
    10639    |    59686    |   152.74    | 7.5545e-01  | 1.0936e-04  |      1      |  1.00e+00   |    0.00     
    10640    |    59690    |   152.75    | 7.5545e-01  | 6.5752e-05  |      1      |  1.00e+00   |    0.00     
    10641    |    59700    |   152.78    | 7.5545e-01  | 1.0877e-04  |      2      |  5.62e-01   |    0.00     
    10642    |    59704    |   152.79    | 7.5545e-01  | 5.1290e-05  |      1      |  1.00e+00   |    0.00     
    10643    |    59710    |   152.80    | 7.5545e-01  | 7.6663e-05  |      2      |  2.00e+00   |    0.00     
    10644    |    59718    |   152.82    | 7.5545e-01  | 2.0222e-04  |      3      |  4.00e+00   |    0.00     
    10645    |    59724    |   152.84    | 7.5545e-01  | 2.0109e-04  |      2      |  2.00e+00   |    0.00     
    10646    |    59734    |   152.87    | 7.5545e-01  | 3.0164e-04  |      2      |  6.35e-01   |    0.00     
    10647    |    59744    |   152.90    | 7.5545e-01  | 4.4081e-04  |      2      |  2.25e-01   |    0.00     
    10648    |    59748    |   152.91    | 7.5545e-01  | 1.5939e-04  |      1      |  1.00e+00   |    0.00     
    10649    |    59752    |   152.92    | 7.5545e-01  | 1.0087e-04  |      1      |  1.00e+00   |    0.00     
    10650    |    59758    |   152.93    | 7.5545e-01  | 2.0269e-04  |      2      |  2.00e+00   |    0.00     
    10651    |    59764    |   152.95    | 7.5545e-01  | 4.1422e-04  |      2      |  2.00e+00   |    0.00     
    10652    |    59768    |   152.96    | 7.5545e-01  | 9.0269e-05  |      1      |  1.00e+00   |    0.00     
    10653    |    59786    |   153.01    | 7.5545e-01  | 7.6664e-05  |      4      |  1.29e+00   |    0.00     
    10654    |    59792    |   153.03    | 7.5545e-01  | 6.1617e-05  |      2      |  2.00e+00   |    0.00     
    10655    |    59796    |   153.03    | 7.5545e-01  | 1.9202e-04  |      1      |  1.00e+00   |    0.00     
    10656    |    59800    |   153.04    | 7.5545e-01  | 9.0378e-05  |      1      |  1.00e+00   |    0.00     
    10657    |    59806    |   153.06    | 7.5545e-01  | 1.1879e-04  |      2      |  2.00e+00   |    0.00     
    10658    |    59810    |   153.07    | 7.5545e-01  | 8.0444e-05  |      1      |  1.00e+00   |    0.00     
    10659    |    59814    |   153.08    | 7.5545e-01  | 6.2010e-05  |      1      |  1.00e+00   |    0.00     
    10660    |    59820    |   153.09    | 7.5545e-01  | 1.0130e-04  |      2      |  2.00e+00   |    0.00     
    10661    |    59826    |   153.11    | 7.5545e-01  | 1.4720e-04  |      2      |  2.00e+00   |    0.00     
    10662    |    59830    |   153.12    | 7.5545e-01  | 7.5949e-05  |      1      |  1.00e+00   |    0.00     
    10663    |    59834    |   153.12    | 7.5545e-01  | 1.5203e-04  |      1      |  1.00e+00   |    0.00     
    10664    |    60428    |   154.82    | 7.5545e-01  | 9.5966e-05  |     100     |  1.00e+00   |    0.00     
    10665    |    60432    |   154.83    | 7.5545e-01  | 1.0966e-04  |      1      |  1.00e+00   |    0.00     
