
******************************************
               Running on cuda:0 
******************************************
Regulariser          :         2-norm , 0.1
Dataset              :              Covtype
Data size            :         (581012, 54)
No. Samples          :               581012
Dimensions           :                  378
x0                   :              uniform
Algorithm            :     FaithfulNewtonCR
..............................................................................................................................
     ite     |    inite    |    dtype    |    orcs     |    time     |      f      |   g_norm    |    alpha    |     acc     
     51      |      5      |     UNF     |    6198     |    15.57    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     52      |      5      |     UNF     |    6242     |    15.68    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     53      |      5      |     UNF     |    6286     |    15.80    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     54      |      5      |     UNF     |    6330     |    15.91    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     55      |      5      |     UNF     |    6374     |    16.02    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     56      |      5      |     UNF     |    6418     |    16.14    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     57      |      5      |     UNF     |    6462     |    16.25    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     58      |      5      |     UNF     |    6506     |    16.37    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     59      |      5      |     UNF     |    6550     |    16.48    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     60      |      5      |     UNF     |    6594     |    16.60    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     61      |      5      |     UNF     |    6638     |    16.71    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     62      |      5      |     UNF     |    6682     |    16.82    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     63      |      5      |     UNF     |    6726     |    16.94    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     64      |      5      |     UNF     |    6770     |    17.05    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     65      |      5      |     UNF     |    6814     |    17.17    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     66      |      5      |     UNF     |    6858     |    17.28    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     67      |      5      |     UNF     |    6902     |    17.39    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     68      |      5      |     UNF     |    6946     |    17.51    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     69      |      5      |     UNF     |    6990     |    17.62    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
